Time,CPU Usage,GPU Usage
15:35:04,15.2,0
15:35:06,20.1,0
15:35:07,11.0,0
15:35:08,12.0,0
15:35:09,17.7,0
15:35:11,14.6,0
15:35:12,6.6,0
15:35:13,8.6,0
15:35:14,11.7,0
15:35:15,6.4,0
08:55:24,79.5,0
08:55:26,53.2,0
08:55:28,38.6,0
08:55:29,34.6,0
08:55:30,36.2,0
08:55:32,47.3,0
08:55:33,31.5,0
08:55:35,36.6,0
08:55:36,41.8,0
08:55:38,30.6,0
08:55:39,41.7,0
08:55:40,48.2,0
08:55:42,49.1,0
08:55:43,54.8,0
08:55:45,38.0,0
08:55:46,48.7,0
08:55:48,34.4,0
08:55:49,32.9,0
08:55:50,45.4,0
08:55:52,77.6,0
08:55:54,94.2,0
08:55:56,87.7,0
08:55:58,87.9,0
08:56:00,61.5,0
08:56:01,56.1,0
08:56:02,45.0,0
08:56:04,62.0,0
08:56:05,70.9,0
08:56:07,59.9,0
08:56:09,52.3,0
08:56:10,56.3,0
08:56:12,69.9,0
08:56:13,70.2,0
08:56:15,69.3,0
08:56:17,72.5,0
08:56:18,49.0,0
08:56:20,33.6,0
08:56:21,47.7,0
08:56:22,47.9,0
08:56:24,36.7,0
08:56:25,41.5,0
08:56:27,55.9,0
08:56:28,38.7,0
08:56:30,46.0,0
08:56:31,64.3,0
08:56:33,42.9,0
08:56:34,56.1,0
08:56:36,63.3,0
08:56:38,65.0,0
08:56:39,69.8,0
08:56:41,66.4,0
08:56:42,86.5,0
08:56:44,72.3,0
08:56:46,82.8,0
08:56:47,65.3,0
08:56:49,65.3,0
08:56:51,57.0,0
08:56:53,55.7,0
08:56:54,61.3,0
08:56:56,47.8,0
08:56:57,50.0,0
08:56:59,51.1,0
08:57:01,49.4,0
08:57:02,34.0,0
08:57:04,37.7,0
08:57:05,40.0,0
08:57:07,44.2,0
08:57:09,46.3,0
14:00:52,19.7,0
14:00:56,19.4,0
14:00:57,19.6,0
14:00:59,14.8,0
14:01:00,21.6,0
14:01:02,16.0,0
14:01:03,20.4,0
14:01:05,24.9,0
14:01:06,13.7,0
14:01:08,12.2,0
14:01:10,16.2,0
14:01:11,13.3,0
14:01:13,23.0,0
14:01:14,18.0,0
14:01:15,16.6,0
14:01:17,18.4,0
14:01:18,17.7,0
14:01:20,31.0,0
14:01:21,33.3,0
14:01:22,26.4,0
14:01:24,17.7,0
14:01:25,21.8,0
14:01:27,14.9,0
14:01:28,21.1,0
14:01:30,22.8,0
14:01:31,20.9,0
14:01:33,25.7,0
14:01:34,36.9,0
14:01:36,33.6,0
14:01:38,31.6,0
14:01:40,33.9,0
14:01:41,44.1,0
14:01:43,34.8,0
14:01:45,31.8,0
14:01:46,22.4,0
14:01:48,34.3,0
14:01:49,42.3,0
14:01:51,24.8,0
14:01:52,23.7,0
14:01:53,24.1,0
14:01:55,32.2,0
14:01:56,37.9,0
14:01:58,36.0,0
14:01:59,19.9,0
14:02:01,16.2,0
14:02:02,18.2,0
14:02:04,15.3,0
14:02:06,17.8,0
14:02:07,25.6,0
14:02:09,16.6,0
14:02:10,13.9,0
14:02:11,10.6,0
14:02:13,15.6,0
14:02:14,29.0,0
14:02:15,13.8,0
14:02:17,12.8,0
14:02:18,9.4,0
14:02:20,16.1,0
14:02:21,10.8,0
14:02:22,14.0,0
14:02:24,18.7,0
14:02:25,9.1,0
14:02:26,9.5,0
14:02:28,20.9,0
14:02:29,19.6,0
14:02:31,19.2,0
14:02:32,9.2,0
14:02:33,8.0,0
14:02:35,13.0,0
14:02:36,15.2,0
14:02:37,11.6,0
14:02:39,14.1,0
14:02:40,10.4,0
14:02:41,12.2,0
